abandon|əˈbændən|v.放弃;抛弃
ability|əˈbɪləti|n.能力;才能
abnormal|æbˈnɔːrml|adj.不正常的
abroad|əˈbrɔːd|adv.在国外;到国外
absence|ˈæbsəns|n.缺席;不在
absolute|ˈæbsəluːt|adj.绝对的;完全的
absorb|əbˈzɔːrb|v.吸收;吸引
abstract|ˈæbstrækt|adj.抽象的;n.摘要
abundant|əˈbʌndənt|adj.丰富的;充裕的
academic|ˌækəˈdemɪk|adj.学术的;学院的
accelerate|əkˈseləreɪt|v.加速;促进
accent|ˈæksent|n.口音;重音
access|ˈækses|n.通道;进入;v.访问
accommodate|əˈkɑːmədeɪt|v.容纳;适应;提供住宿
accompany|əˈkʌmpəni|v.陪伴;伴随
accomplish|əˈkɑːmplɪʃ|v.完成;实现
account|əˈkaʊnt|n.账户;描述;v.解释
accumulate|əˈkjuːmjuleɪt|v.积累;积聚
accurate|ˈækjərət|adj.准确的;精确的
achieve|əˈtʃiːv|v.实现;达到;获得
acknowledge|əkˈnɑːlɪdʒ|v.承认;确认
acquire|əˈkwaɪər|v.获得;习得
adapt|əˈdæpt|v.适应;改编
adequate|ˈædɪkwət|adj.足够的;适当的
adjust|əˈdʒʌst|v.调整;适应
administration|ədˌmɪnɪˈstreɪʃn|n.管理;行政
admire|ədˈmaɪər|v.钦佩;欣赏
admission|ədˈmɪʃn|n.准许进入;承认
adopt|əˈdɑːpt|v.采用;收养
advance|ədˈvæns|v.前进;推进;n.进步
advertise|ˈædvərtaɪz|v.做广告;宣传
affair|əˈfer|n.事务;事件;私通
affect|əˈfekt|v.影响;感动
afford|əˈfɔːrd|v.负担得起;提供
aggressive|əˈɡresɪv|adj.侵略的;好斗的
agreement|əˈɡriːmənt|n.协议;同意
agriculture|ˈæɡrɪkʌltʃər|n.农业;农学
alcohol|ˈælkəhɔːl|n.酒精;酒
alternative|ɔːlˈtɜːrnətɪv|n.替代品;adj.替代的
amaze|əˈmeɪz|v.使惊奇;使惊愕
ambition|æmˈbɪʃn|n.雄心;野心
